섹션,영어 원문,한국어 번역
philosophyPage.thinkingObsTitle,Observation is not just looking.,관찰은 단순히 보는 것이 아닙니다.
philosophyPage.thinkingObsDesc,"It is an active act — using curiosity boxes, magnifying glasses, and all five senses to understand the essence of a real object. The data a child collects through direct experience cannot be found on Google. It is theirs alone.","호기심 상자, 돋보기, 오감을 활용하여 실제 사물의 본질을 이해하는 능동적인 행위입니다. 아이가 직접 경험을 통해 수집한 데이터는 구글에서도 찾을 수 없습니다. 오직 그 아이만의 것입니다."
philosophyPage.creativeExprLabel,CREATIVE EXPRESSION,창의적 표현
philosophyPage.creativeExprTitle,Deep thinking becomes original creation.,깊은 생각은 독창적인 창조로 이어집니다.
philosophyPage.creativeExprDesc,"Expression is not copying. It is taking what you observed, adding your imagination, and making something no one else could make. This is how a child becomes a creator.",창의표현은 모방이 아닙니다. 관찰의 경험에 상상력을 더해 오직 자신만의 것을 완성하는 것입니다. 바로 아이가 창작의 성취를 경험하는 방법입니다.
philosophyPage.learningEngineLabel,THE NOLJAK LEARNING ENGINE,놀작 학습 엔진
philosophyPage.learningEngineTitle,A cycle that never stops.,O-T-E 학습법에 의한 수업 
philosophyPage.step1Title,Observation,관찰
philosophyPage.step1Desc,See the world with all five senses.,오감으로 세상을 바라봅니다.
philosophyPage.step2Title,Thinking,생각
philosophyPage.step2Desc,Connect what you see to what you know.,보이는 것과 아는 것을 연결합니다.
philosophyPage.step3Title,Expression,표현
philosophyPage.step3Desc,Create something entirely your own.,온전히 자신만의 무언가를 창조합니다.
philosophyPage.step4Title,New Observation,새로운 관찰
philosophyPage.step4Desc,"See the world anew, and begin again.",새로운 눈으로 세상을 보고 다시 시작합니다.
philosophyPage.cycleNote,The cycle continues — each creation leads to new observations.,"순환은 계속됩니다 — 모든 관찰은 창작으로, 창작은 새로운 관찰로 이어집니다."
philosophyPage.aiLabel,WHAT AI CANNOT REPLACE,AI가 대체할 수 없는 것
philosophyPage.aiTitle,The rarest thing a child can have is original experience.,아이에게 가장 소중한 것은 자신만의 독창적인 경험입니다.
philosophyPage.aiDesc,"In a world flooded with data, Noljak builds that — one real object at a time. The child who touches a real squid, feels its texture, smells it, and draws it from memory — that child carries data no AI will ever have.",데이터가 넘쳐나는 세상에서 놀작은 실물 경험을 쌓아갑니다 — 진짜 오징어를 만져 질감을 느끼고 냄새 맡고 기억으로 그리는 아이 — 그 아이는 어떤 AI도 가질 수 없는 데이터를 품고 있습니다.
philosophyPage.aiCardTitle,AI,AI
philosophyPage.aiCardDesc,Processes data. Generates patterns. Replicates.,데이터를 처리합니다. 패턴을 생성합니다. 복제합니다.
philosophyPage.childCardTitle,Child,아이
philosophyPage.childCardDesc,Touches. Smells. Feels. Creates something entirely new.,만집니다. 냄새 맡습니다. 느낍니다. 완전히 새로운 것을 창조합니다.
philosophyPage.ctaTitle,Ready to see it in action?,직접 확인해 보시겠습니까?
philosophyPage.ctaBtn1,Explore Programs,프로그램 살펴보기
philosophyPage.ctaBtn2,See Now Noljak,지금 놀작 보기
crekicPage.courseLabel,COURSE 01,코스 01
crekicPage.heroTitle,Where learning begins with the whole body.,온 몸으로 배움이 시작되는 곳.
crekicPage.heroSub,Ages 3–5 · Sensory · Emotional · Language,3~5세 · 감각 · 정서 · 언어
crekicPage.whatLabel,WHAT IS CREKIC?,크키크란?
crekicPage.whatTitle,Sense. Feel. Express.,"감각경험, 정서 발달, 언어 표현"
crekicPage.whatDesc,"CreKiC is Noljak's foundational course for ages 3–5. During this golden time, children absorb the world through every sense. CreKiC channels that energy into integrated sensory, emotional, and language development.","CreKiC는 3~5세를 위한 놀작의 기초 코스입니다. 황금기에 아이들은 모든 감각으로 세상을 흡수합니다. CreKiC는 그 에너지를 통합적 감각, 정서, 언어 발달로 이끕니다."
crekicPage.badge1Name,Sensory,감각
crekicPage.badge1Sub,Stimulation,자극
crekicPage.badge2Name,Emotional,정서
crekicPage.badge2Sub,Expression,표현
crekicPage.badge3Name,Language,언어
crekicPage.badge3Sub,Development,발달
crekicPage.monthlyLabel,MONTHLY FLOW,월간 흐름
crekicPage.monthlyTitle,A complete cycle every month.,매달 완성되는 하나의 사이클.
crekicPage.week1Label,Week 1,1주차
crekicPage.week1Title,Sensory Stimulation,감각 자극
crekicPage.week1Desc,"Exploring the world through touch, sound, smell, and sight.","촉각, 소리, 후각, 시각으로 세상을 탐구합니다."
crekicPage.week2Label,Week 2,2주차
crekicPage.week2Title,Emotional Expression,정서 표현
crekicPage.week2Desc,Connecting feelings to art and movement.,감정을 미술과 움직임으로 연결합니다.
crekicPage.week3Label,Week 3,3주차
crekicPage.week3Title,Language Development,언어 발달
crekicPage.week3Desc,Turning sensory experiences into words and stories.,감각 경험을 말과 이야기로 표현합니다.
crekicPage.week4Label,Week 4,4주차
crekicPage.week4Title,All-in-One Performance,종합 퍼포먼스
crekicPage.week4Desc,Bringing it all together in a full creative performance.,모든 것을 하나의 완성된 창의 퍼포먼스로 통합합니다.
crekicPage.epeLabel,THE E.P.E MODEL,E.P.E 모델
crekicPage.epeTitle,Three steps. One complete experience.,세 단계. 하나의 완전한 경험.
crekicPage.engageTitle,Engage,참여(Engage)
crekicPage.engageDesc,Clear goal setting — the child knows what to discover.,명확한 목표 설정 — 아이는 무엇을 발견할지 압니다.
crekicPage.performTitle,Performance,퍼포먼스(Performance)
crekicPage.performDesc,"From play to expression — movement, sound, and art combined.","놀이에서 표현으로 — 움직임, 소리, 미술의 결합."
crekicPage.expressTitle,Express,표현(Express)
crekicPage.expressDesc,Reinforcing through language and art — Tell me what you made.,언어와 미술로 강화하기 — 만든 것을 이야기해 봐.
crekicPage.keyToolLabel,KEY TOOL,핵심 도구
crekicPage.keyToolTitle,I-Canvas (아이캔버스),I-Canvas (아이캔버스)
crekicPage.keyToolDesc,"A unique Noljak medium for children to express their feelings emotionally and verbally — part canvas, part conversation starter. The I-Canvas bridges the gap between what a child feels and what they can say.",아이들이 감정을 정서적·언어적으로 표현하는 놀작만의 매체 — 캔버스이자 대화의 시작점입니다. I-Canvas는 아이가 느끼는 것과 말할 수 있는 것 사이의 간격을 메워줍니다.
crekicPage.keyToolBadge,Noljak Exclusive Tool,놀작 전용 도구
crekicPage.envTitle,Two spaces. One purpose.,두 가지 공간. 하나의 목적.
crekicPage.generalTitle,General Classroom,일반 교실
crekicPage.generalDesc,"For emotional interaction, group dialogue, and calm creative activities.","정서적 상호작용, 그룹 대화, 차분한 창의 활동을 위한 공간."
crekicPage.performClassTitle,Performance Classroom,퍼포먼스 교실
crekicPage.performClassDesc,"For dynamic, full-body expression — movement, sound, and large-scale art.","역동적인 전신 표현 — 움직임, 소리, 대형 미술 활동을 위한 공간."
crekicPage.ctaTitle,Start your child's creative journey.,아이의 창의적인 여정을 시작하세요.
crekicPage.ctaBtn1,Talk to a Consultant,상담 신청하기
crekicPage.ctaBtn2,Find a CreKiC Center,CreKiC 센터 찾기
basicPage.courseLabel,COURSE 02,코스 02
basicPage.heroTitle,Thinking starts with real observation.,생각은 진짜 관찰에서 시작됩니다.
basicPage.heroSub,Ages 6–7 · Real Object · Observation · Thinking,6~7세 · 실제 사물 · 관찰 · 사고
basicPage.whatLabel,WHAT IS BASIC?,베이식이란?
basicPage.whatTitle,Don't draw first. Observe first.,먼저 관찰하세요. 그러면 아이만의 표현이 시작됩니다.
basicPage.whatDesc,"Basic is Noljak's core course for ages 6–7. Children learn to observe real objects with precision — not photos, not videos, but the actual thing. From that observation, real thinking begins.","Basic은 5세 이상 아동을 위한 놀작의 핵심 코스입니다. 아이들은 실물을 진지하게 관찰하는 법을 배우고, 그 관찰은 아이만의 고유한 사고로 형성됩니다. 우리는 이것을 '생각하는 관찰'이라 부릅니다."
basicPage.whatQuote,The data a child collects through direct experience cannot be found on Google. It is theirs alone.,아이가 직접 경험을 통해 수집한 데이터는 구글에서도 찾을 수 없습니다. 오직 그 아이만의 것입니다.
basicPage.stepLabel,4-STEP PROJECT,4단계 프로젝트
basicPage.stepTitle,One real object. Four weeks of discovery.,실물 주제와 프로젝트 수업 - 깊이 탐색하고 배웁니다.
basicPage.step1Title,Observation,관찰
basicPage.step1Desc,Explore the real object with all five senses. Collect data.,오감으로 실제 사물을 탐구합니다. 나만의 데이터를 수집합니다.
basicPage.step1Badge,e.g. Real Snail,예: 진짜 달팽이
basicPage.step2Title,Imagination,상상
basicPage.step2Desc,Add personal imagination to collected data. Visualize.,수집한 데이터에 아동만의 상상력을 더하고 시각화합니다.
basicPage.step3Title,Expansion,확장
basicPage.step3Desc,Add story and perspective. Think critically.,이야기와 새로운 관점을 추가합니다. 비판적 사고를 배웁니다.
basicPage.step4Title,Expression,표현
basicPage.step4Desc,Complete a unique final creation.,내 이야기가 담긴 나만의 작품을 완성합니다. 창의적인 표현의 완성입니다.
basicPage.obsToolsLabel,OBSERVATION TOOLS,관찰 도구
basicPage.obsToolsTitle,Tools that activate all five senses.,오감 관찰을 위한 도구.
basicPage.tool1Title,Curiosity Box,호기심 상자
basicPage.tool1Sub,호기심 상자,호기심 상자
basicPage.tool1Desc,"Blocks vision. Only touch, sound, and smell. Maximum sensory activation.","시각을 차단하고 촉각, 소리, 후각만으로 사물을 편견없이 경험합니다. 모든 감각이 발달합니다."
basicPage.tool1Badge,Noljak Exclusive,놀작 전용
basicPage.tool2Title,Observation Magnifier,관찰 돋보기
basicPage.tool2Sub,관찰 돋보기,관찰 돋보기
basicPage.tool2Desc,Precision analysis of structure and detail. Discover what the naked eye misses.,구조와 세부 사항을 자세히 봅니다. 그리고 눈으로 볼 수 없는 것을 발견합니다.
basicPage.tool2Badge,Noljak Exclusive,놀작 전용
basicPage.studioLabel,OBSERVATION STUDIO,관찰 스튜디오
basicPage.studioTitle,A space designed for deep focus.,안전과 집중을 위해 설계된 공간.
basicPage.studioDesc,Calm blue tones create the perfect environment for concentrated observation. The large solid wood workbench allows children to examine objects from every angle.,차분한 화이트 톤은 집중적인 관찰을 위한 완벽한 환경을 만들어냅니다. 대형 원목책상은 아이들이 사물을 모든 각도에서 살펴볼 수 있도록 합니다.
basicPage.studioBullet1,Calm blue color tones for focused thinking,집중적인 사고를 위한 차분한 화이트 색조
basicPage.studioBullet2,Large solid wood workbench for multi-angle observation,다각도 관찰을 위한 대형 원목 책상
basicPage.sensoryLabel,SENSORY LANGUAGE,감각 언어
basicPage.sensoryTitle,From senses to words to ideas.,"감각에서 언어로, 아이디어로."
basicPage.sensoryDesc,"Rich sensory language is the foundation of creative thinking. When children describe what they feel, they build the vocabulary of imagination.",풍부한 감각 언어는 창의적 사고의 기초입니다. 아이들이 느끼는 것을 묘사할 때 상상력의 어휘를 쌓아갑니다.
basicPage.sensory1Ko,말랑말랑하다,말랑말랑하다
basicPage.sensory1En,(Soft and squishy),(부드럽고 탱탱하다)
basicPage.sensory2Ko,비릿하다,비릿하다
basicPage.sensory2En,(Smells like the sea),(바다 냄새가 난다)
basicPage.sensory3Ko,차가운 금속 같다,차가운 금속 같다
basicPage.sensory3En,(Cold like metal),(금속처럼 차갑다)
basicPage.ctaTitle,See real observation in action.,진짜 관찰을 지금 경험해보세요.
basicPage.ctaBtn1,Talk to a Consultant,상담 신청하기
basicPage.ctaBtn2,Find a Basic Center,Basic 센터 찾기
creatorPage.courseLabel,COURSE 03,코스 03
creatorPage.heroTitle,Ideas become original creations.,아이디어가 독창적인 창작물이 됩니다.
creatorPage.heroSub,Ages 8–Elementary · Design Thinking · Creative Fusion,8세~초등 · 디자인 씽킹 · 창의 융합
creatorPage.whatLabel,WHAT IS CREATOR?,크리에이터란?
creatorPage.whatTitle,Design your own world.,나만의 세계를 디자인하세요.
creatorPage.whatDesc,"Creator is Noljak's advanced course for children who have completed Basic. Here, children combine accumulated observation data with art, humanities, science, and social thinking — to design solutions that are truly their own.","Creator는 Basic을 마친 아이들을 위한 놀작의 심화 코스입니다. 여기서 아이들은 축적된 관찰 데이터를 미술, 인문학, 과학, 사회적 사고와 결합하여 진정으로 자신만의 솔루션을 디자인합니다."
creatorPage.whatQuote,Idea sketches are not doodles. They are blueprints for the best possible answer.,아이디어 스케치는 낙서가 아닙니다. 나만의 창작을 위한 설계도입니다.
creatorPage.designLabel,DESIGN THINKING,디자인 씽킹
creatorPage.designTitle,From infinite ideas to one masterpiece.,무한한 아이디어에서 하나의 작품으로.
creatorPage.design1Title,Divergent Thinking,발산적 사고
creatorPage.design1Desc,Generate hundreds of possibilities using 9 imagination tools.,9가지 상상 도구를 사용하여 수백 가지 가능성을 생성합니다.
creatorPage.design2Title,Idea Sketch,아이디어 스케치
creatorPage.design2Desc,Convert abstract ideas into visual blueprints.,추상적인 아이디어를 시각적 청사진으로 변환합니다.
creatorPage.design3Title,Convergent Thinking,수렴적 사고
creatorPage.design3Desc,Select one idea and develop it to its fullest potential.,하나의 아이디어를 선택하여 최대한 발전시킵니다.
creatorPage.design4Title,Final Creation,최종 창작물
creatorPage.design4Desc,A work that carries social meaning or functional value.,사회적 의미 또는 기능적 가치를 지닌 작품.
creatorPage.toolsLabel,9 IMAGINATION TOOLS,9가지 상상 도구
creatorPage.toolsTitle,Imagination is a skill. Here are the tools.,상상력은 기술입니다. 여기 그 도구들이 있습니다.
creatorPage.toolsDesc,Children use these 9 systematic tools to break fixed thinking and transform their observation data into revolutionary ideas.,아이들은 이 9가지 체계적인 도구를 사용하여 고정된 사고를 깨고 관찰 데이터를 혁신적인 아이디어로 변환합니다.
creatorPage.tool1Title,Shape Shifting,형태 변환
creatorPage.tool1Desc,Transform basic shapes into entirely new forms,기본 형태를 완전히 새로운 모습으로 변환합니다
creatorPage.tool2Title,Mix & Match,믹스 & 매치
creatorPage.tool2Desc,Combine unrelated attributes to create something new,관련 없는 속성들을 결합하여 새로운 것을 창조합니다
creatorPage.tool3Title,Feature Focusing,특징 집중
creatorPage.tool3Desc,Isolate and redefine the key characteristics of any object,어떤 사물의 핵심 특성을 분리하고 재정의합니다
creatorPage.tool4Title,Avatar POV,아바타 시점
creatorPage.tool4Desc,See the world through someone else's eyes entirely,다른 사람의 눈으로 완전히 세상을 봅니다
creatorPage.tool5Title,Scaling Up & Down,크기 조절
creatorPage.tool5Desc,Explore by dramatically changing size,크기를 극적으로 바꾸어 탐구합니다
creatorPage.tool6Title,Break & Build,분해 & 재구성
creatorPage.tool6Desc,Separate and recombine elements in unexpected ways,요소들을 예상치 못한 방식으로 분리하고 재결합합니다
creatorPage.tool7Title,Giving Life,생명 부여
creatorPage.tool7Desc,Give movement and life to static objects,정적인 사물에 움직임과 생명을 부여합니다
creatorPage.tool8Title,Time Traveling,시간 여행
creatorPage.tool8Desc,Reverse or fast-forward time to reimagine cause and effect,원인과 결과를 재상상하기 위해 시간을 되감거나 빨리 감습니다
creatorPage.tool9Title,Super Function,초능력 기능
creatorPage.tool9Desc,Give objects impossible abilities beyond their original purpose,사물에 원래 목적을 넘어선 특별한 능력을 부여합니다
creatorPage.caseLabel,CASE STUDY,케이스 스터디
creatorPage.caseTitle,Shuttlecock! What do you look like?,셔틀콕! 너는 어떻게 생겼니?
creatorPage.caseDesc,Original data that search engines can't find and AI can never replicate.,검색 엔진이 찾을 수 없고 AI가 절대 복제할 수 없는 독창적인 데이터.
creatorPage.case1Title,Observation,관찰
creatorPage.case1Desc,"Lightness, feather structure, air space — all data collected by touch and sight.","가벼움, 깃털 구조, 공기 공간 — 촉각과 시각으로 수집된 모든 데이터."
creatorPage.case2Title,Thinking,생각
creatorPage.case2Desc,The feathers look like the Eiffel Tower.' / 'It could be a hot air balloon basket.',깃털이 에펠탑처럼 생겼어.' / '열기구 바구니가 될 수 있을 것 같아.'
creatorPage.case3Title,Expression,표현
creatorPage.case3Desc,"Children created the Eiffel Tower, a flowing dress, and a fantasy balloon — all from one shuttlecock.","아이들은 하나의 셔틀콕에서 에펠탑, 흐르는 드레스, 판타지 풍선을 만들어냈습니다."
creatorPage.atelierLabel,ATELIER SPACE,아틀리에 공간
creatorPage.atelierTitle,A studio where creators work.,창작자들이 일하는 스튜디오.
creatorPage.atelierDesc,The Creator classroom is an atelier-style space with multiple materials and experimental techniques available. Children can plan and display their own exhibitions.,크리에이터 교실은 다양한 재료와 실험적 기법을 갖춘 아틀리에 스타일의 공간입니다. 아이들은 자신의 전시를 기획하고 전시할 수 있습니다.
creatorPage.atelierBullet1,Multiple materials and experimental techniques,다양한 재료와 실험적 기법
creatorPage.atelierBullet2,Gallery element — children plan and display their own exhibitions,갤러리 요소 — 아이들이 자신의 전시를 기획하고 전시합니다
creatorPage.ctaTitle,Ready to design your world?,나만의 세계를 디자인할 준비가 되셨나요?
creatorPage.ctaBtn1,Talk to a Consultant,상담 신청하기
creatorPage.ctaBtn2,Find a Creator Center,Creator 센터 찾기
othersPage.heroLabel,PROGRAMS,프로그램
othersPage.heroTitle,Beyond the curriculum. Still Noljak.,커리큘럼을 넘어서. 그래도 놀작.
othersPage.heroDesc,"Noljak offers a rich variety of programs and tools — all grounded in the same philosophy of observation, thinking, and creative expression.","놀작은 다양한 프로그램과 도구를 제공합니다 — 모두 관찰, 사고, 창의적 표현이라는 동일한 철학에 기반합니다."
othersPage.drawingLabel,NOLJAK CREATIVE DRAWING,놀작 창의 드로잉
othersPage.drawingTitle,Drawing as a thinking tool.,생각하는 도구로서의 드로잉.
othersPage.drawingDesc,"Noljak Creative Drawing explores drawing elements found in everyday life. By observing and expressing these elements through playful methods, children develop rich thematic expression skills.",놀작 창의 드로잉은 일상 생활에서 발견할 수 있는 드로잉 요소들을 탐구합니다. 놀이적인 방법으로 이 요소들을 관찰하고 표현함으로써 아이들은 풍부한 주제 표현 능력을 발전시킵니다.
othersPage.drawingAge,Ages 5+,5세 이상
othersPage.drawingLink,Learn more,자세히 알아보기
othersPage.drawingBasicTitle,Basic,베이식
othersPage.drawingBasicAge,Ages 6 and older,초등 이상
othersPage.drawingBasicDesc,Cultivates the ability to express various subjects by observing and interpreting drawing elements found in children's everyday lives through playful methods.,놀이적인 방법으로 아이들의 일상 생활에서 찾을 수 있는 드로잉 요소들을 관찰하고 해석하여 다양한 주제를 표현하는 능력을 기릅니다.
othersPage.drawingAdvTitle,Advanced,어드밴스드
othersPage.drawingAdvAge,Elementary-aged children,초등학교 연령 아동
othersPage.drawingAdvDesc,"An intensive drawing course covering Observation, Human Anatomy, Coloring, and Three-dimensional expression.","관찰, 인체, 색채, 입체 표현을 다루는 심화 드로잉 코스."
othersPage.kitLabel,NOLJAK ART KIT,놀작 아트 키트
othersPage.kitTitle,A complete art experience in one box.,하나의 박스에 담긴 완전한 미술 경험.
othersPage.kitDesc,"Each Art Kit contains all essential materials for art activities, coupled with detailed instructions — ensuring that anyone can easily create artistic pieces. Centered around a specific theme, each kit fosters creativity, confidence, and a sense of accomplishment.","각 아트 키트에는 미술 활동에 필요한 모든 재료와 상세한 안내가 포함되어 있어 누구나 쉽게 예술 작품을 만들 수 있습니다. 특정 테마를 중심으로 각 키트는 창의성, 자신감, 성취감을 키워줍니다."
othersPage.kitAge,Ages 4+,4세 이상
othersPage.kit1Title,ArtBox 12,아트박스 12
othersPage.kit1Desc,12 art activities around a single theme — from watermelon to autumn leaves. Refines fine motor skills and fosters creativity.,수박부터 낙엽까지 단일 테마를 중심으로 한 12가지 미술 활동. 소근육 발달과 창의성을 향상시킵니다.
othersPage.kit2Title,Artist Box,아티스트 박스
othersPage.kit2Desc,"Inspired by masters like Klimt, Matisse, Mondrian, and Monet. Children appreciate and apply artists' techniques to create their own works.","클림트, 마티스, 몬드리안, 모네 등 거장에서 영감을 받아 아이들이 화가의 기법을 감상하고 자신만의 작품을 만듭니다."
othersPage.kit3Title,Flower Art Box,플라워 아트 박스
othersPage.kit3Desc,"Create oversized blooms, flower mobiles, and 3D floral artworks. Combines nature knowledge with fine motor development.","자이언트 플라워와 꽃 모빌, 페이퍼 부케로 작품을 완성합니다. 자연에 대한 이해와 소근육 발달을 결합합니다."
othersPage.kitLink,Explore Art Kits,아트 키트 탐색
othersPage.craftLabel,CRAFT MATERIAL COLLECTION,공예 재료 컬렉션
othersPage.craftTitle,One material. Endless possibilities.,하나의 재료. 무한한 가능성.
othersPage.craftDesc,"Each collection focuses on a single art material — colored sand, clay, cellophane, masking tape, and more. With around 10 activity sheets per kit, children explore the full creative potential of each material, building confidence through completing multiple artworks.","각 컬렉션은 컬러 모래, 점토, 셀로판, 마스킹 테이프 등 단일 미술 재료에 집중합니다. 키트당 약 10개의 활동 시트로 아이들은 각 재료의 완전한 창의적 가능성을 탐구하며 여러 작품을 완성하는 과정에서 자신감을 쌓습니다."
othersPage.craftAge,All ages,모든 연령
othersPage.craftLink,Explore Collections,컬렉션 탐색
othersPage.material1,Colored Sand,컬러 모래
othersPage.material2,Clay,점토
othersPage.material3,Cellophane,셀로판
othersPage.material4,Masking Tape,마스킹 테이프
othersPage.material5,Shape Stickers,모양 스티커
othersPage.material6,Striped Colored Paper,줄무늬 색지
othersPage.ctaTitle,Curious about our full program lineup?,놀작의 전체 프로그램 라인업이 궁금한가요?
othersPage.ctaDesc,Explore our core courses or find a Noljak center near you.,핵심 코스를 탐색하거나 가까운 놀작 센터를 찾아보세요.
othersPage.ctaBtn1,Explore Core Programs,프로그램 자세히 보기
othersPage.ctaBtn2,Find a Center,센터 찾기